id,name,ABILITY1,ABILITY2,HIDDEN_ABILITY,TYPE1,TYPE2,HP,ATTACK,DEFENSE,SPECIAL_ATTACK,SPECIAL_DEFENSE,SPEED,TOTAL_STAT,GENERATION_NO
311,plusle,plus,none,lightning-rod,electric,none,60,50,40,85,75,95,405,3.0
312,minun,minus,none,volt-absorb,electric,none,60,40,50,75,85,95,405,3.0
313,volbeat,illuminate,swarm,prankster,bug,none,65,73,75,47,85,85,430,3.0
314,illumise,oblivious,tinted-lens,prankster,bug,none,65,47,75,73,85,85,430,3.0
315,roselia,natural-cure,poison-point,leaf-guard,grass,poison,50,60,45,100,80,65,400,3.0
316,gulpin,liquid-ooze,sticky-hold,gluttony,poison,none,70,43,53,43,53,40,302,3.0
317,swalot,liquid-ooze,sticky-hold,gluttony,poison,none,100,73,83,73,83,55,467,3.0
318,carvanha,rough-skin,none,speed-boost,water,dark,45,90,20,65,20,65,305,3.0
319,sharpedo,rough-skin,none,speed-boost,water,dark,70,120,40,95,40,95,460,3.0
320,wailmer,water-veil,oblivious,pressure,water,none,130,70,35,70,35,60,400,3.0
321,wailord,water-veil,oblivious,pressure,water,none,170,90,45,90,45,60,500,3.0
322,numel,oblivious,simple,own-tempo,fire,ground,60,60,40,65,45,35,305,3.0
323,camerupt,magma-armor,solid-rock,anger-point,fire,ground,70,100,70,105,75,40,460,3.0
324,torkoal,white-smoke,drought,shell-armor,fire,none,70,85,140,85,70,20,470,3.0
325,spoink,thick-fat,own-tempo,gluttony,psychic,none,60,25,35,70,80,60,330,3.0
326,grumpig,thick-fat,own-tempo,gluttony,psychic,none,80,45,65,90,110,80,470,3.0
327,spinda,own-tempo,tangled-feet,contrary,normal,none,60,60,60,60,60,60,360,3.0
328,trapinch,hyper-cutter,arena-trap,sheer-force,ground,none,45,100,45,45,45,10,290,3.0
329,vibrava,levitate,none,none,ground,dragon,50,70,50,50,50,70,340,3.0
330,flygon,levitate,none,none,ground,dragon,80,100,80,80,80,100,520,3.0
331,cacnea,sand-veil,none,water-absorb,grass,none,50,85,40,85,40,35,335,3.0
332,cacturne,sand-veil,none,water-absorb,grass,dark,70,115,60,115,60,55,475,3.0
333,swablu,natural-cure,none,cloud-nine,normal,flying,45,40,60,40,75,50,310,3.0
334,altaria,natural-cure,none,cloud-nine,dragon,flying,75,70,90,70,105,80,490,3.0
335,zangoose,immunity,none,toxic-boost,normal,none,73,115,60,60,60,90,458,3.0
336,seviper,shed-skin,none,infiltrator,poison,none,73,100,60,100,60,65,458,3.0
337,lunatone,levitate,none,none,rock,psychic,90,55,65,95,85,70,460,3.0
338,solrock,levitate,none,none,rock,psychic,90,95,85,55,65,70,460,3.0
339,barboach,oblivious,anticipation,hydration,water,ground,50,48,43,46,41,60,288,3.0
340,whiscash,oblivious,anticipation,hydration,water,ground,110,78,73,76,71,60,468,3.0
341,corphish,hyper-cutter,shell-armor,adaptability,water,none,43,80,65,50,35,35,308,3.0
342,crawdaunt,hyper-cutter,shell-armor,adaptability,water,dark,63,120,85,90,55,55,468,3.0
343,baltoy,levitate,none,none,ground,psychic,40,40,55,40,70,55,300,3.0
344,claydol,levitate,none,none,ground,psychic,60,70,105,70,120,75,500,3.0
345,lileep,suction-cups,none,storm-drain,rock,grass,66,41,77,61,87,23,355,3.0
346,cradily,suction-cups,none,storm-drain,rock,grass,86,81,97,81,107,43,495,3.0
347,anorith,battle-armor,none,swift-swim,rock,bug,45,95,50,40,50,75,355,3.0
348,armaldo,battle-armor,none,swift-swim,rock,bug,75,125,100,70,80,45,495,3.0
349,feebas,swift-swim,oblivious,adaptability,water,none,20,15,20,10,55,80,200,3.0
350,milotic,marvel-scale,competitive,cute-charm,water,none,95,60,79,100,125,81,540,3.0
351,castform,forecast,none,none,normal,none,70,70,70,70,70,70,420,3.0
352,kecleon,color-change,none,protean,normal,none,60,90,70,60,120,40,440,3.0
353,shuppet,insomnia,frisk,cursed-body,ghost,none,44,75,35,63,33,45,295,3.0
354,banette,insomnia,frisk,cursed-body,ghost,none,64,115,65,83,63,65,455,3.0
355,duskull,levitate,none,frisk,ghost,none,20,40,90,30,90,25,295,3.0
356,dusclops,pressure,none,frisk,ghost,none,40,70,130,60,130,25,455,3.0
357,tropius,chlorophyll,solar-power,harvest,grass,flying,99,68,83,72,87,51,460,3.0
358,chimecho,levitate,none,none,psychic,none,75,50,80,95,90,65,455,3.0
359,absol,pressure,super-luck,justified,dark,none,65,130,60,75,60,75,465,3.0
360,wynaut,shadow-tag,none,telepathy,psychic,none,95,23,48,23,48,23,260,3.0
361,snorunt,inner-focus,ice-body,moody,ice,none,50,50,50,50,50,50,300,3.0
362,glalie,inner-focus,ice-body,moody,ice,none,80,80,80,80,80,80,480,3.0
363,spheal,thick-fat,ice-body,oblivious,ice,water,70,40,50,55,50,25,290,3.0
364,sealeo,thick-fat,ice-body,oblivious,ice,water,90,60,70,75,70,45,410,3.0
365,walrein,thick-fat,ice-body,oblivious,ice,water,110,80,90,95,90,65,530,3.0
366,clamperl,shell-armor,none,rattled,water,none,35,64,85,74,55,32,345,3.0
367,huntail,swift-swim,none,water-veil,water,none,55,104,105,94,75,52,485,3.0
368,gorebyss,swift-swim,none,hydration,water,none,55,84,105,114,75,52,485,3.0
369,relicanth,swift-swim,rock-head,sturdy,water,rock,100,90,130,45,65,55,485,3.0
370,luvdisc,swift-swim,none,hydration,water,none,43,30,55,40,65,97,330,3.0
371,bagon,rock-head,none,sheer-force,dragon,none,45,75,60,40,30,50,300,3.0
372,shelgon,rock-head,none,overcoat,dragon,none,65,95,100,60,50,50,420,3.0
373,salamence,intimidate,none,moxie,dragon,flying,95,135,80,110,80,100,600,3.0
374,beldum,clear-body,none,light-metal,steel,psychic,40,55,80,35,60,30,300,3.0
375,metang,clear-body,none,light-metal,steel,psychic,60,75,100,55,80,50,420,3.0
376,metagross,clear-body,none,light-metal,steel,psychic,80,135,130,95,90,70,600,3.0
377,regirock,clear-body,none,sturdy,rock,none,80,100,200,50,100,50,580,3.0
378,regice,clear-body,none,ice-body,ice,none,80,50,100,100,200,50,580,3.0
379,registeel,clear-body,none,light-metal,steel,none,80,75,150,75,150,50,580,3.0
380,latias,levitate,none,none,dragon,psychic,80,80,90,110,130,110,600,3.0
381,latios,levitate,none,none,dragon,psychic,80,90,80,130,110,110,600,3.0
382,kyogre,drizzle,none,none,water,none,100,100,90,150,140,90,670,3.0
383,groudon,drought,none,none,ground,none,100,150,140,100,90,90,670,3.0
384,rayquaza,air-lock,none,none,dragon,flying,105,150,90,150,90,95,680,3.0
385,jirachi,serene-grace,none,none,steel,psychic,100,100,100,100,100,100,600,3.0
386,deoxys-normal,pressure,none,none,psychic,none,50,150,50,150,50,150,600,3.0
387,turtwig,overgrow,none,shell-armor,grass,none,55,68,64,45,55,31,318,4.0
388,grotle,overgrow,none,shell-armor,grass,none,75,89,85,55,65,36,405,4.0
389,torterra,overgrow,none,shell-armor,grass,ground,95,109,105,75,85,56,525,4.0
390,chimchar,blaze,none,iron-fist,fire,none,44,58,44,58,44,61,309,4.0
391,monferno,blaze,none,iron-fist,fire,fighting,64,78,52,78,52,81,405,4.0
392,infernape,blaze,none,iron-fist,fire,fighting,76,104,71,104,71,108,534,4.0
393,piplup,torrent,none,defiant,water,none,53,51,53,61,56,40,314,4.0
394,prinplup,torrent,none,defiant,water,none,64,66,68,81,76,50,405,4.0
395,empoleon,torrent,none,defiant,water,steel,84,86,88,111,101,60,530,4.0
396,starly,keen-eye,none,reckless,normal,flying,40,55,30,30,30,60,245,4.0
397,staravia,intimidate,none,reckless,normal,flying,55,75,50,40,40,80,340,4.0
398,staraptor,intimidate,none,reckless,normal,flying,85,120,70,50,60,100,485,4.0
399,bidoof,simple,unaware,moody,normal,none,59,45,40,35,40,31,250,4.0
400,bibarel,simple,unaware,moody,normal,water,79,85,60,55,60,71,410,4.0
401,kricketot,shed-skin,none,run-away,bug,none,37,25,41,25,41,25,194,4.0
402,kricketune,swarm,none,technician,bug,none,77,85,51,55,51,65,384,4.0
403,shinx,rivalry,intimidate,guts,electric,none,45,65,34,40,34,45,263,4.0
404,luxio,rivalry,intimidate,guts,electric,none,60,85,49,60,49,60,363,4.0
405,luxray,rivalry,intimidate,guts,electric,none,80,120,79,95,79,70,523,4.0
406,budew,natural-cure,poison-point,leaf-guard,grass,poison,40,30,35,50,70,55,280,4.0
407,roserade,natural-cure,poison-point,technician,grass,poison,60,70,65,125,105,90,515,4.0
408,cranidos,mold-breaker,none,sheer-force,rock,none,67,125,40,30,30,58,350,4.0
409,rampardos,mold-breaker,none,sheer-force,rock,none,97,165,60,65,50,58,495,4.0
410,shieldon,sturdy,none,soundproof,rock,steel,30,42,118,42,88,30,350,4.0
411,bastiodon,sturdy,none,soundproof,rock,steel,60,52,168,47,138,30,495,4.0
412,burmy,shed-skin,none,overcoat,bug,none,40,29,45,29,45,36,224,4.0
413,wormadam-plant,anticipation,none,overcoat,bug,grass,60,59,85,79,105,36,424,4.0
414,mothim,swarm,none,tinted-lens,bug,flying,70,94,50,94,50,66,424,4.0
415,combee,honey-gather,none,hustle,bug,flying,30,30,42,30,42,70,244,4.0
416,vespiquen,pressure,none,unnerve,bug,flying,70,80,102,80,102,40,474,4.0
417,pachirisu,run-away,pickup,volt-absorb,electric,none,60,45,70,45,90,95,405,4.0
418,buizel,swift-swim,none,water-veil,water,none,55,65,35,60,30,85,330,4.0
419,floatzel,swift-swim,none,water-veil,water,none,85,105,55,85,50,115,495,4.0
420,cherubi,chlorophyll,none,none,grass,none,45,35,45,62,53,35,275,4.0
421,cherrim,flower-gift,none,none,grass,none,70,60,70,87,78,85,450,4.0
422,shellos,sticky-hold,storm-drain,sand-force,water,none,76,48,48,57,62,34,325,4.0
423,gastrodon,sticky-hold,storm-drain,sand-force,water,ground,111,83,68,92,82,39,475,4.0
424,ambipom,technician,pickup,skill-link,normal,none,75,100,66,60,66,115,482,4.0
425,drifloon,aftermath,unburden,flare-boost,ghost,flying,90,50,34,60,44,70,348,4.0
426,drifblim,aftermath,unburden,flare-boost,ghost,flying,150,80,44,90,54,80,498,4.0
427,buneary,run-away,klutz,limber,normal,none,55,66,44,44,56,85,350,4.0
428,lopunny,cute-charm,klutz,limber,normal,none,65,76,84,54,96,105,480,4.0
429,mismagius,levitate,none,none,ghost,none,60,60,60,105,105,105,495,4.0
430,honchkrow,insomnia,super-luck,moxie,dark,flying,100,125,52,105,52,71,505,4.0
431,glameow,limber,own-tempo,keen-eye,normal,none,49,55,42,42,37,85,310,4.0
432,purugly,thick-fat,own-tempo,defiant,normal,none,71,82,64,64,59,112,452,4.0
433,chingling,levitate,none,none,psychic,none,45,30,50,65,50,45,285,4.0
434,stunky,stench,aftermath,keen-eye,poison,dark,63,63,47,41,41,74,329,4.0
435,skuntank,stench,aftermath,keen-eye,poison,dark,103,93,67,71,61,84,479,4.0
436,bronzor,levitate,heatproof,heavy-metal,steel,psychic,57,24,86,24,86,23,300,4.0
437,bronzong,levitate,heatproof,heavy-metal,steel,psychic,67,89,116,79,116,33,500,4.0
438,bonsly,sturdy,rock-head,rattled,rock,none,50,80,95,10,45,10,290,4.0
439,mime-jr,soundproof,filter,technician,psychic,fairy,20,25,45,70,90,60,310,4.0
440,happiny,natural-cure,serene-grace,friend-guard,normal,none,100,5,5,15,65,30,220,4.0
441,chatot,keen-eye,tangled-feet,big-pecks,normal,flying,76,65,45,92,42,91,411,4.0
442,spiritomb,pressure,none,infiltrator,ghost,dark,50,92,108,92,108,35,485,4.0
443,gible,sand-veil,none,rough-skin,dragon,ground,58,70,45,40,45,42,300,4.0
444,gabite,sand-veil,none,rough-skin,dragon,ground,68,90,65,50,55,82,410,4.0
445,garchomp,sand-veil,none,rough-skin,dragon,ground,108,130,95,80,85,102,600,4.0
446,munchlax,pickup,thick-fat,gluttony,normal,none,135,85,40,40,85,5,390,4.0
447,riolu,steadfast,inner-focus,prankster,fighting,none,40,70,40,35,40,60,285,4.0
448,lucario,steadfast,inner-focus,justified,fighting,steel,70,110,70,115,70,90,525,4.0
449,hippopotas,sand-stream,none,sand-force,ground,none,68,72,78,38,42,32,330,4.0
450,hippowdon,sand-stream,none,sand-force,ground,none,108,112,118,68,72,47,525,4.0
451,skorupi,battle-armor,sniper,keen-eye,poison,bug,40,50,90,30,55,65,330,4.0
452,drapion,battle-armor,sniper,keen-eye,poison,dark,70,90,110,60,75,95,500,4.0
453,croagunk,anticipation,dry-skin,poison-touch,poison,fighting,48,61,40,61,40,50,300,4.0
454,toxicroak,anticipation,dry-skin,poison-touch,poison,fighting,83,106,65,86,65,85,490,4.0
455,carnivine,levitate,none,none,grass,none,74,100,72,90,72,46,454,4.0
456,finneon,swift-swim,storm-drain,water-veil,water,none,49,49,56,49,61,66,330,4.0
457,lumineon,swift-swim,storm-drain,water-veil,water,none,69,69,76,69,86,91,460,4.0
458,mantyke,swift-swim,water-absorb,water-veil,water,flying,45,20,50,60,120,50,345,4.0
459,snover,snow-warning,none,soundproof,grass,ice,60,62,50,62,60,40,334,4.0
460,abomasnow,snow-warning,none,soundproof,grass,ice,90,92,75,92,85,60,494,4.0
461,weavile,pressure,none,pickpocket,dark,ice,70,120,65,45,85,125,510,4.0
462,magnezone,magnet-pull,sturdy,analytic,electric,steel,70,70,115,130,90,60,535,4.0
463,lickilicky,own-tempo,oblivious,cloud-nine,normal,none,110,85,95,80,95,50,515,4.0
464,rhyperior,lightning-rod,solid-rock,reckless,ground,rock,115,140,130,55,55,40,535,4.0
465,tangrowth,chlorophyll,leaf-guard,regenerator,grass,none,100,100,125,110,50,50,535,4.0
466,electivire,motor-drive,none,vital-spirit,electric,none,75,123,67,95,85,95,540,4.0
467,magmortar,flame-body,none,vital-spirit,fire,none,75,95,67,125,95,83,540,4.0
468,togekiss,hustle,serene-grace,super-luck,fairy,flying,85,50,95,120,115,80,545,4.0
469,yanmega,speed-boost,tinted-lens,frisk,bug,flying,86,76,86,116,56,95,515,4.0
470,leafeon,leaf-guard,none,chlorophyll,grass,none,65,110,130,60,65,95,525,4.0
471,glaceon,snow-cloak,none,ice-body,ice,none,65,60,110,130,95,65,525,4.0
472,gliscor,hyper-cutter,sand-veil,poison-heal,ground,flying,75,95,125,45,75,95,510,4.0
473,mamoswine,oblivious,snow-cloak,thick-fat,ice,ground,110,130,80,70,60,80,530,4.0
474,porygon-z,adaptability,download,analytic,normal,none,85,80,70,135,75,90,535,4.0
475,gallade,steadfast,none,justified,psychic,fighting,68,125,65,65,115,80,518,4.0
476,probopass,sturdy,magnet-pull,sand-force,rock,steel,60,55,145,75,150,40,525,4.0
477,dusknoir,pressure,none,frisk,ghost,none,45,100,135,65,135,45,525,4.0
478,froslass,snow-cloak,none,cursed-body,ice,ghost,70,80,70,80,70,110,480,4.0
479,rotom,levitate,none,none,electric,ghost,50,50,77,95,77,91,440,4.0
480,uxie,levitate,none,none,psychic,none,75,75,130,75,130,95,580,4.0
481,mesprit,levitate,none,none,psychic,none,80,105,105,105,105,80,580,4.0
482,azelf,levitate,none,none,psychic,none,75,125,70,125,70,115,580,4.0
483,dialga,pressure,none,telepathy,steel,dragon,100,120,120,150,100,90,680,4.0
484,palkia,pressure,none,telepathy,water,dragon,90,120,100,150,120,100,680,4.0
485,heatran,flash-fire,none,flame-body,fire,steel,91,90,106,130,106,77,600,4.0
486,regigigas,slow-start,none,none,normal,none,110,160,110,80,110,100,670,4.0
487,giratina-altered,pressure,none,telepathy,ghost,dragon,150,100,120,100,120,90,680,4.0
488,cresselia,levitate,none,none,psychic,none,120,70,120,75,130,85,600,4.0
489,phione,hydration,none,none,water,none,80,80,80,80,80,80,480,4.0
490,manaphy,hydration,none,none,water,none,100,100,100,100,100,100,600,4.0
491,darkrai,bad-dreams,none,none,dark,none,70,90,90,135,90,125,600,4.0
492,shaymin-land,natural-cure,none,none,grass,none,100,100,100,100,100,100,600,4.0
493,arceus,multitype,none,none,normal,none,120,120,120,120,120,120,720,4.0
494,victini,victory-star,none,none,psychic,fire,100,100,100,100,100,100,600,5.0
495,snivy,overgrow,none,contrary,grass,none,45,45,55,45,55,63,308,5.0
496,servine,overgrow,none,contrary,grass,none,60,60,75,60,75,83,413,5.0
497,serperior,overgrow,none,contrary,grass,none,75,75,95,75,95,113,528,5.0
498,tepig,blaze,none,thick-fat,fire,none,65,63,45,45,45,45,308,5.0
499,pignite,blaze,none,thick-fat,fire,fighting,90,93,55,70,55,55,418,5.0
500,emboar,blaze,none,reckless,fire,fighting,110,123,65,100,65,65,528,5.0
501,oshawott,torrent,none,shell-armor,water,none,55,55,45,63,45,45,308,5.0
502,dewott,torrent,none,shell-armor,water,none,75,75,60,83,60,60,413,5.0
503,samurott,torrent,none,shell-armor,water,none,95,100,85,108,70,70,528,5.0
504,patrat,run-away,keen-eye,analytic,normal,none,45,55,39,35,39,42,255,5.0
505,watchog,illuminate,keen-eye,analytic,normal,none,60,85,69,60,69,77,420,5.0
506,lillipup,vital-spirit,pickup,run-away,normal,none,45,60,45,25,45,55,275,5.0
507,herdier,intimidate,sand-rush,scrappy,normal,none,65,80,65,35,65,60,370,5.0
508,stoutland,intimidate,sand-rush,scrappy,normal,none,85,110,90,45,90,80,500,5.0
509,purrloin,limber,unburden,prankster,dark,none,41,50,37,50,37,66,281,5.0
510,liepard,limber,unburden,prankster,dark,none,64,88,50,88,50,106,446,5.0
511,pansage,gluttony,none,overgrow,grass,none,50,53,48,53,48,64,316,5.0
512,simisage,gluttony,none,overgrow,grass,none,75,98,63,98,63,101,498,5.0
513,pansear,gluttony,none,blaze,fire,none,50,53,48,53,48,64,316,5.0
514,simisear,gluttony,none,blaze,fire,none,75,98,63,98,63,101,498,5.0
515,panpour,gluttony,none,torrent,water,none,50,53,48,53,48,64,316,5.0
516,simipour,gluttony,none,torrent,water,none,75,98,63,98,63,101,498,5.0
517,munna,forewarn,synchronize,telepathy,psychic,none,76,25,45,67,55,24,292,5.0
518,musharna,forewarn,synchronize,telepathy,psychic,none,116,55,85,107,95,29,487,5.0
519,pidove,big-pecks,super-luck,rivalry,normal,flying,50,55,50,36,30,43,264,5.0
520,tranquill,big-pecks,super-luck,rivalry,normal,flying,62,77,62,50,42,65,358,5.0
521,unfezant,big-pecks,super-luck,rivalry,normal,flying,80,115,80,65,55,93,488,5.0
522,blitzle,lightning-rod,motor-drive,sap-sipper,electric,none,45,60,32,50,32,76,295,5.0
523,zebstrika,lightning-rod,motor-drive,sap-sipper,electric,none,75,100,63,80,63,116,497,5.0
524,roggenrola,sturdy,weak-armor,sand-force,rock,none,55,75,85,25,25,15,280,5.0
525,boldore,sturdy,weak-armor,sand-force,rock,none,70,105,105,50,40,20,390,5.0
526,gigalith,sturdy,sand-stream,sand-force,rock,none,85,135,130,60,80,25,515,5.0
527,woobat,unaware,klutz,simple,psychic,flying,65,45,43,55,43,72,323,5.0
528,swoobat,unaware,klutz,simple,psychic,flying,67,57,55,77,55,114,425,5.0
529,drilbur,sand-rush,sand-force,mold-breaker,ground,none,60,85,40,30,45,68,328,5.0
530,excadrill,sand-rush,sand-force,mold-breaker,ground,steel,110,135,60,50,65,88,508,5.0
531,audino,healer,regenerator,klutz,normal,none,103,60,86,60,86,50,445,5.0
532,timburr,guts,sheer-force,iron-fist,fighting,none,75,80,55,25,35,35,305,5.0
533,gurdurr,guts,sheer-force,iron-fist,fighting,none,85,105,85,40,50,40,405,5.0
534,conkeldurr,guts,sheer-force,iron-fist,fighting,none,105,140,95,55,65,45,505,5.0
535,tympole,swift-swim,hydration,water-absorb,water,none,50,50,40,50,40,64,294,5.0
536,palpitoad,swift-swim,hydration,water-absorb,water,ground,75,65,55,65,55,69,384,5.0
537,seismitoad,swift-swim,poison-touch,water-absorb,water,ground,105,95,75,85,75,74,509,5.0
538,throh,guts,inner-focus,mold-breaker,fighting,none,120,100,85,30,85,45,465,5.0
539,sawk,sturdy,inner-focus,mold-breaker,fighting,none,75,125,75,30,75,85,465,5.0
540,sewaddle,swarm,chlorophyll,overcoat,bug,grass,45,53,70,40,60,42,310,5.0
541,swadloon,leaf-guard,chlorophyll,overcoat,bug,grass,55,63,90,50,80,42,380,5.0
542,leavanny,swarm,chlorophyll,overcoat,bug,grass,75,103,80,70,80,92,500,5.0
543,venipede,poison-point,swarm,speed-boost,bug,poison,30,45,59,30,39,57,260,5.0
544,whirlipede,poison-point,swarm,speed-boost,bug,poison,40,55,99,40,79,47,360,5.0
545,scolipede,poison-point,swarm,speed-boost,bug,poison,60,100,89,55,69,112,485,5.0
546,cottonee,prankster,infiltrator,chlorophyll,grass,fairy,40,27,60,37,50,66,280,5.0
547,whimsicott,prankster,infiltrator,chlorophyll,grass,fairy,60,67,85,77,75,116,480,5.0
548,petilil,chlorophyll,own-tempo,leaf-guard,grass,none,45,35,50,70,50,30,280,5.0
549,lilligant,chlorophyll,own-tempo,leaf-guard,grass,none,70,60,75,110,75,90,480,5.0
550,basculin-red-striped,reckless,adaptability,mold-breaker,water,none,70,92,65,80,55,98,460,5.0
551,sandile,intimidate,moxie,anger-point,ground,dark,50,72,35,35,35,65,292,5.0
552,krokorok,intimidate,moxie,anger-point,ground,dark,60,82,45,45,45,74,351,5.0
553,krookodile,intimidate,moxie,anger-point,ground,dark,95,117,80,65,70,92,519,5.0
554,darumaka,hustle,none,inner-focus,fire,none,70,90,45,15,45,50,315,5.0
555,darmanitan-standard,sheer-force,none,zen-mode,fire,none,105,140,55,30,55,95,480,5.0
556,maractus,water-absorb,chlorophyll,storm-drain,grass,none,75,86,67,106,67,60,461,5.0
557,dwebble,sturdy,shell-armor,weak-armor,bug,rock,50,65,85,35,35,55,325,5.0
558,crustle,sturdy,shell-armor,weak-armor,bug,rock,70,105,125,65,75,45,485,5.0
559,scraggy,shed-skin,moxie,intimidate,dark,fighting,50,75,70,35,70,48,348,5.0
560,scrafty,shed-skin,moxie,intimidate,dark,fighting,65,90,115,45,115,58,488,5.0
561,sigilyph,wonder-skin,magic-guard,tinted-lens,psychic,flying,72,58,80,103,80,97,490,5.0
562,yamask,mummy,none,none,ghost,none,38,30,85,55,65,30,303,5.0
563,cofagrigus,mummy,none,none,ghost,none,58,50,145,95,105,30,483,5.0
564,tirtouga,solid-rock,sturdy,swift-swim,water,rock,54,78,103,53,45,22,355,5.0
565,carracosta,solid-rock,sturdy,swift-swim,water,rock,74,108,133,83,65,32,495,5.0
566,archen,defeatist,none,none,rock,flying,55,112,45,74,45,70,401,5.0
567,archeops,defeatist,none,none,rock,flying,75,140,65,112,65,110,567,5.0
568,trubbish,stench,sticky-hold,aftermath,poison,none,50,50,62,40,62,65,329,5.0
569,garbodor,stench,weak-armor,aftermath,poison,none,80,95,82,60,82,75,474,5.0
570,zorua,illusion,none,none,dark,none,40,65,40,80,40,65,330,5.0
571,zoroark,illusion,none,none,dark,none,60,105,60,120,60,105,510,5.0
572,minccino,cute-charm,technician,skill-link,normal,none,55,50,40,40,40,75,300,5.0
573,cinccino,cute-charm,technician,skill-link,normal,none,75,95,60,65,60,115,470,5.0
574,gothita,frisk,competitive,shadow-tag,psychic,none,45,30,50,55,65,45,290,5.0
575,gothorita,frisk,competitive,shadow-tag,psychic,none,60,45,70,75,85,55,390,5.0
576,gothitelle,frisk,competitive,shadow-tag,psychic,none,70,55,95,95,110,65,490,5.0
577,solosis,overcoat,magic-guard,regenerator,psychic,none,45,30,40,105,50,20,290,5.0
578,duosion,overcoat,magic-guard,regenerator,psychic,none,65,40,50,125,60,30,370,5.0
579,reuniclus,overcoat,magic-guard,regenerator,psychic,none,110,65,75,125,85,30,490,5.0
580,ducklett,keen-eye,big-pecks,hydration,water,flying,62,44,50,44,50,55,305,5.0
581,swanna,keen-eye,big-pecks,hydration,water,flying,75,87,63,87,63,98,473,5.0
582,vanillite,ice-body,snow-cloak,weak-armor,ice,none,36,50,50,65,60,44,305,5.0
583,vanillish,ice-body,snow-cloak,weak-armor,ice,none,51,65,65,80,75,59,395,5.0
584,vanilluxe,ice-body,snow-warning,weak-armor,ice,none,71,95,85,110,95,79,535,5.0
585,deerling,chlorophyll,sap-sipper,serene-grace,normal,grass,60,60,50,40,50,75,335,5.0
586,sawsbuck,chlorophyll,sap-sipper,serene-grace,normal,grass,80,100,70,60,70,95,475,5.0
587,emolga,static,none,motor-drive,electric,flying,55,75,60,75,60,103,428,5.0
588,karrablast,swarm,shed-skin,no-guard,bug,none,50,75,45,40,45,60,315,5.0
589,escavalier,swarm,shell-armor,overcoat,bug,steel,70,135,105,60,105,20,495,5.0
590,foongus,effect-spore,none,regenerator,grass,poison,69,55,45,55,55,15,294,5.0
591,amoonguss,effect-spore,none,regenerator,grass,poison,114,85,70,85,80,30,464,5.0
592,frillish,water-absorb,cursed-body,damp,water,ghost,55,40,50,65,85,40,335,5.0
593,jellicent,water-absorb,cursed-body,damp,water,ghost,100,60,70,85,105,60,480,5.0
594,alomomola,healer,hydration,regenerator,water,none,165,75,80,40,45,65,470,5.0
595,joltik,compound-eyes,unnerve,swarm,bug,electric,50,47,50,57,50,65,319,5.0
596,galvantula,compound-eyes,unnerve,swarm,bug,electric,70,77,60,97,60,108,472,5.0
597,ferroseed,iron-barbs,none,none,grass,steel,44,50,91,24,86,10,305,5.0
598,ferrothorn,iron-barbs,none,anticipation,grass,steel,74,94,131,54,116,20,489,5.0
599,klink,plus,minus,clear-body,steel,none,40,55,70,45,60,30,300,5.0
600,klang,plus,minus,clear-body,steel,none,60,80,95,70,85,50,440,5.0
601,klinklang,plus,minus,clear-body,steel,none,60,100,115,70,85,90,520,5.0
602,tynamo,levitate,none,none,electric,none,35,55,40,45,40,60,275,5.0
603,eelektrik,levitate,none,none,electric,none,65,85,70,75,70,40,405,5.0
604,eelektross,levitate,none,none,electric,none,85,115,80,105,80,50,515,5.0
605,elgyem,telepathy,synchronize,analytic,psychic,none,55,55,55,85,55,30,335,5.0
606,beheeyem,telepathy,synchronize,analytic,psychic,none,75,75,75,125,95,40,485,5.0
607,litwick,flash-fire,flame-body,infiltrator,ghost,fire,50,30,55,65,55,20,275,5.0
608,lampent,flash-fire,flame-body,infiltrator,ghost,fire,60,40,60,95,60,55,370,5.0
609,chandelure,flash-fire,flame-body,infiltrator,ghost,fire,60,55,90,145,90,80,520,5.0
610,axew,rivalry,mold-breaker,unnerve,dragon,none,46,87,60,30,40,57,320,5.0
611,fraxure,rivalry,mold-breaker,unnerve,dragon,none,66,117,70,40,50,67,410,5.0
612,haxorus,rivalry,mold-breaker,unnerve,dragon,none,76,147,90,60,70,97,540,5.0
613,cubchoo,snow-cloak,slush-rush,rattled,ice,none,55,70,40,60,40,40,305,5.0
614,beartic,snow-cloak,slush-rush,swift-swim,ice,none,95,130,80,70,80,50,505,5.0
615,cryogonal,levitate,none,none,ice,none,80,50,50,95,135,105,515,5.0
616,shelmet,hydration,shell-armor,overcoat,bug,none,50,40,85,40,65,25,305,5.0
617,accelgor,hydration,sticky-hold,unburden,bug,none,80,70,40,100,60,145,495,5.0
618,stunfisk,static,limber,sand-veil,ground,electric,109,66,84,81,99,32,471,5.0
619,mienfoo,inner-focus,regenerator,reckless,fighting,none,45,85,50,55,50,65,350,5.0
620,mienshao,inner-focus,regenerator,reckless,fighting,none,65,125,60,95,60,105,510,5.0
621,druddigon,rough-skin,sheer-force,mold-breaker,dragon,none,77,120,90,60,90,48,485,5.0
622,golett,iron-fist,klutz,no-guard,ground,ghost,59,74,50,35,50,35,303,5.0
623,golurk,iron-fist,klutz,no-guard,ground,ghost,89,124,80,55,80,55,483,5.0
624,pawniard,defiant,inner-focus,pressure,dark,steel,45,85,70,40,40,60,340,5.0
625,bisharp,defiant,inner-focus,pressure,dark,steel,65,125,100,60,70,70,490,5.0
